Handle,Max Rating,Result
tietui77,2134,No
yukai,2134,No
AmirrzwM,2233,No
Genius_dream,2171,No
_Ezreal,2177,No
east1016,2185,N/A
magnified,2501,N/A
qwqFomalhaut,2133,No
MarcosK,2288,N/A
n0sk1ll,2239,N/A
nukelauncher,2149,N/A
GoogleBot,2260,N/A
ParsaS,2327,Yes
myoi0905,2131,N/A
penguin133,2131,No
thecold,2169,N/A
zepto,2131,No
Boboge,2288,N/A
Jimanbanashi,2528,N/A
lyx123886a123886,2171,N/A
CharlesWuQiushi,2190,No
SmoggingSpun,2129,N/A
pog,2141,No
AlinLoh420,2128,No
MistZero2,2128,N/A
ZhouYuHang,2155,No
baijiaohu,2128,Yes
henry-tb,2196,N/A
ht_Z,2128,Yes
konb1,2176,N/A
lsantire,2328,N/A
lunchbox,2302,N/A
status_coding,2192,N/A
zyc070419,2127,No
Lylova,2196,N/A
Markellonchik,2363,No
Tobo,2238,N/A
Capps,2125,No
Vladithur,2400,N/A
gortomi,2125,No
tatata96,2235,N/A
Eurlo,2124,No
RedMind,2326,N/A
Temmie,2419,N/A
komite,2124,No
sgweo8ys,2124,No
ciuim,2123,Yes
pty6666,2236,No
369Pai,2122,No
DJRzjl,2175,N/A
DimonKrutoi,2220,Yes
GoatTamer,2231,N/A
ScarletS,2197,No
someone__,2177,N/A
Cipherxzc,2151,No
Luna_Sakurakouji,2185,N/A
NemanjaSo2005,2195,N/A
bcollet,2268,N/A
edogawa_something,2121,N/A
great_fortune,2241,N/A
CYYsOPaccount,2120,N/A
IvanBorquez,2136,N/A
LordVoIdebug,2292,N/A
bcyjtyl,2120,N/A
imtore,2203,No
zbceyond,2128,N/A
Agnus,2174,N/A
cqbzhfxzj,2119,N/A
hhhyh,2119,Yes
yanghanyv,2119,No
Mmtdp7476,2118,N/A
Swishy123,2118,N/A
brothernumb2002,2118,No
kIee,2237,N/A
CN_Air.,2129,N/A
Hammer,2117,N/A
Hemose,2237,N/A
Sai_t,2117,N/A
Sparkle_ZH,2139,N/A
dabbler1,2134,No
kidw0124,2169,N/A
pasa3232,2195,N/A
scli_kjh,2117,N/A
DaNeK0201,2155,Yes
VLamarca,2404,N/A
ast123,2116,Yes
ikrpprppp,2292,N/A
ooaa,2320,N/A
suisdavid,2209,Yes
szdytom,2124,N/A
0e4ef622,2115,No
MAKMED1337,2401,N/A
TP-LINK-1,2118,No
kuticpcer,2145,No
makrav,2226,N/A
LeXuanSon,2114,Yes
gaoyucheng,2114,N/A
tttyyylll,2114,No
HalfQuark,2273,N/A
Mustang98,2484,N/A
N00BGH0ST,2113,No
SK1PY,2113,N/A
Alx,2127,N/A
Leonidas,2297,N/A
Oscaryang,2112,No
dai,2404,N/A
firi.,2327,N/A
_FJqwq,2111,No
makcvim,2149,N/A
retired_user,2112,No
AceIn,2244,N/A
ComplexPug,2368,N/A
Suwan,2290,No
TKORT,2119,No
afuafu,2171,Yes
qsmcgogo,2247,N/A
robertoeugenio,2110,No
suzhen,2208,No
ButterflyDew,2374,N/A
alex.kudryashov,2109,N/A
hata_saa,2109,No
houren,2167,Yes
ImmortaLimit,2108,N/A
KennyD,2188,N/A
vladmart,2307,N/A
Rotting,2107,No
Vser_Carrot,2107,N/A
jeff_qi,2199,N/A
prairie2022,2115,Yes
Edqebriqht,2106,No
Hell2Evator,2235,N/A
JWRuixi,2106,Yes
liaokq,2106,No
mychecksdead,2243,No
O_O_Zzz,2212,N/A
The_Hallak,2235,No
XDEv11,2169,N/A
erduolong,2150,No
qwq7,2125,No
shmax_,2104,N/A
Jerry20110434,2190,Yes
Weobe,2155,No
firstin0907,2103,No
lemon_codes,2103,N/A
luanmenglei,2130,No
zhang_yt,2103,No
Francesco4203,2130,Yes
SuperJ6,2319,N/A
kai824,2264,N/A
_bLIC_,2101,No
gujialiang123,2138,N/A
win114514,2101,No
CALLSIGN_NULL_,2100,No
Kita,2137,Yes
Nightmaresss,2100,No
Raiden_Makoto,2100,No
akij_biri,2241,N/A
kuzmichev_dima,2261,N/A
s_jaskaran_s,2175,No
sg78276397,2241,N/A
IgorAkhmetov,2375,N/A
Serendipity__,2258,N/A
Yzm007,2195,N/A
fwfjs,2112,No
Bellalabella,2356,No
Joler_,2194,N/A
dlhham,2204,N/A
spiderg,2306,N/A
antguz,2269,N/A
islingr,2227,N/A
tostes,2216,N/A
ytqm3,2314,No
MCPlayer542,2164,N/A
bashunowant,2137,No
enzopsm,2137,N/A
1075508020060209tc,2160,No
IcpcAssiut,2094,N/A
Meloric,2133,N/A
WGYLOVEZXQ,2158,N/A
kartel,2147,N/A
michao,2263,No
polosatic,2154,N/A
szflc,2094,No
L_Wave,2093,No
painsacrifice,2093,No
BernatP,2092,No
CepryH9,2277,N/A
Dalek_of_Rivia,2165,No
WRKRW,2120,No
un4gettable_rain,2130,N/A
woshiluo,2178,No
yuki_keshiki,2092,No
Anonyme,2123,N/A
pantw,2189,N/A
wnmrmr,2344,N/A
zjq123,2173,No
Ujjwalkool,2187,N/A
goncharovmike,2143,N/A
pavel..pers,2090,N/A
pufanyi,2284,N/A
raideva,2090,N/A
skytyf,2090,No
DanTheMan_,2320,N/A
amoeba1,2103,No
stntn,2108,N/A
wzc_IOI_czw,2103,No
ToiBiCungChim,2114,N/A
ahey,2350,N/A
brealid,2185,No
jrsy,2088,N/A
kingofpineapples,2278,N/A
slah007,2268,N/A
Ann,2087,N/A
Issa,2115,Yes
MCYang,2087,N/A
Morisz10,2120,No
RegenFallen,2179,N/A
XJTU_coach_xu,2262,N/A
chengbilly,2103,N/A
dreamy_jasper,2086,Yes
georgievskiy,2183,N/A
llzer,2091,N/A
shade34,2186,N/A
sunyuheng365,2288,N/A
t98slider,2234,N/A
E-ray,2187,N/A
complexor,2085,No
Fu_L,2084,N/A
Jiongly,2164,No
Rodionno,2084,No
Till_Past,2127,No
YahiaSherif,2293,N/A
mQfZ,2186,No
rajatgoyal376,2084,No
snowy2002,2179,No
Zhangcw,2083,N/A
DarkestNightmare,2134,N/A
liar_frisky,2170,N/A
milind0110,2155,No
xlwang,2157,N/A
yuanruiqi,2082,No
ElDiablo,2295,No
KnownError_,2081,No
_Linglin,2157,No
dongyc666,2150,No
nrvft,2145,N/A
shenyibin,2081,No
fhqTreap,2179,No
toniskrijelj,2315,No
trainerherp,2121,No
Iamjuruo,2079,Yes
Shuishui_0921,2155,No
gxy001,2273,N/A
keenlf,2079,N/A
3417,2078,N/A
AWR2020,2078,No
Java,2163,N/A
Toxic-chan,2078,No
__jk__,2171,N/A
gs17005,2230,N/A
s20b1_chernikov,2294,N/A
unordered_map,2212,Yes
ArsenM,2146,N/A
BabaVoss,2138,N/A
ItsJerr,2077,N/A
The_thought_of_fallout,2202,Yes
_morsmordre_,2077,Yes
c1120231020,2117,N/A
ScorpioDagger,2082,Yes
VasyaMer,2155,N/A
Valters07,2220,N/A
gabriel88766,2075,No
new_acc_,2237,N/A
timreizin,2288,No
BlackMamba,2074,No
ZHUHAORENQaQ,2180,N/A
codelegend,2475,N/A
ghoul932,2178,N/A
koderkushy,2331,Yes
spirua,2074,No
A.D.,2119,N/A
parsa-golestani,2159,Yes
purp4ever,2105,N/A
HighDxDSchool,2115,N/A
XY_Eleven,2071,No
ayingna,2135,N/A
towrist,2174,No
jifbt,2070,N/A
wzihan,2082,No
die,2453,N/A
flower_sang,2136,No
meiqwq_bf,2190,N/A
Arch_of_Triumph,2133,Yes
MCuong,2068,No
_CbrX_,2108,N/A
jialiang250,2103,No
oiocha,2068,No
wolf_moon,2068,N/A
How_to_solve_problem_B,2183,No
cjy_2021,2067,N/A
pei_pei_,2080,N/A
sdyakonov,2067,No
beep_boop,2066,No
__finn,2065,No
coding_sword,2152,N/A
keisuke6,2197,No
kwoncycle,2154,No
sanyon,2199,N/A
supercambrian,2120,No
woshiSB_river,2126,N/A
zdc123456,2228,Yes
Error_Yuan,2095,Yes
Silver_Fox,2118,N/A
TheOneYouWant,2448,N/A
dushki,2064,N/A
wangzheng2008,2064,No
HanZhongBalls,2063,N/A
Ice_teapoy,2080,N/A
dongsihan,2063,No
juewwj,2063,No
raoxj,2251,N/A
ArvinCiu,2117,N/A
ITworker_Z,2229,Yes
guoziyang,2061,N/A
lerasimus,2061,Yes
Biot_DucToan,2113,N/A
PCC,2098,No
ashwanth106121023,2124,No
the_hyp0cr1t3,2151,N/A
zc_zxq,2060,Yes
lkfd,2059,No
D0min0,2171,Yes
Intellegent,2149,N/A
codicon,2208,N/A
man_of_learning,2197,N/A
theBanzaiPredicament,2277,N/A
wishsh,2058,No
10000point,2057,No
alexdd,2097,Yes
areke,2127,N/A
c20230537,2072,No
dartvolley,2084,N/A
hocky,2154,N/A
mariowong,2057,N/A
pkqs90,2189,N/A
zxynothing,2118,N/A
2018haha,2056,N/A
Gergyg,2161,Yes
Lucky_OvO,2073,No
S00021,2066,No
kolomig0r,2126,No
Esomer,2169,No
Fekete,2299,N/A
Hectonit,2116,Yes
avnithv,2054,No
hy2004,2054,No
idontwannawin,2531,N/A
AboAbdoMC,2142,N/A
Paul_Liao_1457,2179,Yes
RobertoFirmino,2137,No
czswez,2052,No
Giga_Cronos,2214,No
Coder_Nayak,2049,No
Ink,2049,No
Richw818,2155,Yes
kimmoqt,2101,Yes
yzb002,2049,Yes
OverSimpIified,2050,N/A
bribritt,2048,No
daniel071292,2249,N/A
forest,2251,N/A
jbc392,2104,No
zhouzizhe,2205,No
-LAP-,2091,Yes
Alan_dong,2047,No
jsssk,2179,No
piyushsharma_3061,2047,No
satyabrat693,2146,No
31ballons,2080,N/A
Arnob,2151,N/A
RingedGenesis,2046,No
arpeggio,2074,No
lck_AC,2046,N/A
limbo16,2173,No
misteg168,2116,No
oval_m,2133,Yes
pacha2880,2185,N/A
Heibor,2121,No
TheRubbish,2123,N/A
brimix__,2360,N/A
gohan123,2260,N/A
kanpurin,2045,N/A
optimize_2,2045,N/A
petamingks,2108,Yes
programpiggy,2084,No
blackscreen1,2074,N/A
thabumi,2123,No
A_Pikachu,2043,N/A
FanYongchen,2043,N/A
Gold14526,2048,No
LYT0122,2043,No
Selnev,2043,No
kyoran,2187,No
Alan,2042,Yes
Sanat,2042,No
adam01,2042,No
guperman,2310,N/A
donbasta,2163,N/A
nanoblob,2127,N/A
swift51385,2066,No
nandonathaniel,2043,N/A
Muelsyse_sep002,2039,No
celin,2038,N/A
follow_diana_please,2175,No
jimini23kjm,2054,N/A
Forever1507,2050,No
HonestMagician,2037,N/A
SpadeA261,2136,No
heeew,2037,N/A
lizh1,2164,No
spsicio,2037,N/A
Gorou,2036,No
nch1ck,2036,N/A
Corycle,2204,N/A
DAYBREAK_FRONTLINE,2035,N/A
Niiiiiiiiiiiiiiiiiiii,2091,N/A
PoiFakeRe,2121,N/A
abotaha23,2035,No
bit-noob,2110,N/A
medmdg_MOI,2054,No
shenfe1,2106,No
876pol,2157,No
JavaInTheSouth,2168,N/A
yiwangchensha,2072,N/A
Fugitive,2139,N/A
Scut22,2138,N/A
Timonnable,2269,N/A
dsolunov,2173,N/A
LLL_2820,2156,N/A
SMIrrichto,2032,Yes
cool_milo,2103,N/A
erankyun,2232,Yes
fyable,2032,N/A
wythend,2240,N/A
Fermat,2237,N/A
Sqrtyz,2031,N/A
pzzkr,2066,No
llloserqz,2113,N/A
TreniiiRiii,2146,N/A
robertofirmino09,2049,N/A
xuyufeiya,2153,Yes
Loserinlife,2028,No
RNS_KWG,2028,No
mafailure,2207,N/A
XGN,2027,N/A
marc2825,2027,N/A
nahP_irT,2083,No
Galetx,2068,Yes
Mazaalai,2090,N/A
c2023cyj,2026,No
jbg05,2026,N/A
mjtai,2336,N/A
trivialkid,2066,No
AD620,2036,N/A
fcba,2025,N/A
qlwpc,2025,N/A
CIXTEEN,2229,N/A
GrandTiger1729,2173,No
abhayg_07,2024,No
mishanya_stulov,2209,N/A
Beevo,2113,No
thomaswmy,2023,N/A
yenuj,2153,N/A
Nahian9696,2022,N/A
_skb_,2097,N/A
sizihan,2120,N/A
SZMSZBH,2128,N/A
SarahLynn,2108,N/A
_Mister_Doctor,2021,No
elteammate,2097,N/A
lelbaba,2141,N/A
m.cpp,2109,N/A
SinhaSatwik,2020,No
Liang_Yusong,2019,N/A
lvle,2019,No
March_7th,2136,N/A
Pablo-No,2018,No
_Cx330,2020,N/A
martinius,2018,No
Ankit_332,2017,No
Loctildore,2017,N/A
El.LeBron,2016,Yes
FIorian,2047,No
Xc4l16r3,2186,No
dino_merlin,2016,N/A
nalemy,2075,Yes
JJH_QAQ,2015,N/A
MGod,2019,N/A
amsah,2022,No
real_pegasus,2057,N/A
