Handle,Max Rating,Result
nicnaknic,1624,Yes
riyadas.200208,1631,Yes
rzi,1517,Yes
2022Zhangfenglai,1516,Yes
Blue_M00n,1516,Yes
Dream_zaa,1516,No
GamerSheel,1621,No
JJThomson,1516,No
JavaHere,1516,No
Shubh_Kr07,1576,Yes
TaawraaT,1516,No
a_rythm,1678,No
cnn008,1516,No
czp2222,1537,No
ladamalina,1516,No
michael789234,1608,No
mohitg20,1582,No
namang01,1536,No
packkill,1561,N/A
sachin_gupta21,1568,No
shihaka,1530,Yes
xlebyshek2020,1531,No
znyee07,1571,N/A
Inkyo,1515,N/A
LunaticRave2,1515,No
NTHU_Daniel,1515,N/A
Sheyer,1650,Yes
SjxOvO,1580,Yes
THATS_HOW_LIFE_WORK,1515,No
annak_s,1572,No
br0kenb4ain,1537,No
chika10,1665,No
cpnoob1,1522,N/A
cqzry,1515,No
hoangnoobpro,1575,Yes
purpleblackferret,1515,Yes
shreyas333,1600,N/A
xxxodarap,1533,No
Anshika8751,1514,No
AwesomeParrot,1514,No
CreamHao,1514,No
Foreverftip,1658,N/A
Kakkart16,1586,No
KeplerIV,1514,N/A
PERAPRO,1514,N/A
Satolu,1514,No
Tang2,1603,N/A
_yao,1528,No
abhishekpandey7842,1650,Yes
ace_coder,1514,No
guts__,1635,N/A
jprakhar,1523,No
siddhesh.o4,1547,Yes
the_batman,1733,N/A
xzh,1547,N/A
yandou,1550,N/A
123asdf123,1624,No
ASIF_-_ASHIK,1665,N/A
Halcyflict,1548,N/A
Leomtk,1513,No
PulokSaha,1645,Yes
Spder,1520,No
TJ_ovo,1525,N/A
XUAN_,1590,No
_skyHigh,1539,N/A
ch1mp0,1604,No
funnyface,1548,No
hby2004,1636,N/A
iamujj15,1517,Yes
kl1dd,1517,No
luka.heric,1571,No
lulujia5454,1584,No
nhphong207,1558,N/A
sadbus,1607,No
srijan_krishna,1513,No
virat1906,1677,N/A
xac233,1678,No
yaqiaqiashi,1513,N/A
Aditya_meena,1535,No
Fighter_Man,1596,No
HideInTheSea,1512,No
ITE24,1619,N/A
Jiraiya_02,1623,No
KobeWu,1584,N/A
L_M_Y,1522,Yes
Modar139,1512,No
SN0WM4N,1537,N/A
Uchiha_Ouda,1512,No
Wasimur,1608,No
_wh,1570,No
adityadargan3,1512,Yes
covert_insurgent,1606,N/A
desidero,1622,No
highgih,1512,Yes
jonathanji,1520,N/A
lhyuu,1567,No
m3tz,1576,Yes
parth_17,1696,No
samagra1,1632,N/A
saurabh_175,1512,No
situn,1693,Yes
wcyived,1556,N/A
21Guns,1511,No
AdletDautbek,1688,No
Beast_376,1536,No
DheeruYS,1650,N/A
Dr-Doom,1534,No
MysticCoder,1511,Yes
Ridham24,1511,N/A
Rutwik_25,1516,No
aim-CM,1612,N/A
bysbys,1511,No
coreiRISx,1551,No
dkdk,1590,No
fantafan,1511,N/A
hemant_goyal,1573,No
jaineshmachhi,1511,No
konakarthik12,1563,Yes
shympo,1511,N/A
subha_nik,1754,Yes
Fan.,1510,N/A
FreenCKup,1612,Yes
HmmHmm,1583,Yes
Nathan.Li,1638,No
