Handle,Max Rating,Result
sasidhar_msr,1408,No
silenttkillerr,1721,No
thsinak,1416,No
Kacchi,1538,No
TheILICH,1435,No
dthieu,1427,N/A
jaiswal_abhishek,1403,No
kshqsz,1461,No
mastercheif,1402,Yes
mazen_ghanayem,1436,No
Duukh,1674,No
Mesh_Error_403,1557,Yes
PassedPawn,1480,No
Sandeep_coding,1428,No
_notAcoder_,1444,Yes
cclab,1501,Yes
chiragagarwal819,1418,Yes
depokaliens,1449,No
llaminator,1469,N/A
sp4c3_c0wb0y,1663,N/A
Salah7_a,1439,No
arutsudar,1545,N/A
bihariforces,1504,No
Clams1606,1418,No
ErenYeagar,1491,N/A
MrAndria,1550,No
lkv_01,1412,No
shawsk,1641,No
3AGWA_79,1415,No
MJavad,1481,N/A
Pranavk1234,1652,No
Shi_07g,1409,No
TomitaMatei,1422,No
monji,1469,N/A
procoderomk,1501,No
sibuna,1487,N/A
yangbalu,1447,No
Andrevv,1442,N/A
The.functional.Bit,1401,Yes
Zzyzzx38,1448,N/A
agarwalkoustubh39,1505,No
dheecoder,1514,No
saddam,1488,N/A
siamsplash5,1457,N/A
step-off-bitch,1528,No
zerobug0_,1469,No
zxcuser2,1448,No
AhmedRamadan,1410,Yes
Bibu54123,1423,No
HappyBox,1453,No
Hatem25,1425,N/A
_wanna_FUCK,1582,No
alpy123,1434,No
dhruxy_09,1508,No
sandro.dia,1413,N/A
smile_1000,1472,No
usx21145118,1409,No
wuwuwubudale,1432,No
Ahmed1v0,1412,No
Contest_Mess,1474,N/A
Max_Rosul,1555,No
OmarAnalog,1512,No
ZhixingYi,1517,Yes
_Khan__,1519,Yes
colorBlindCoder,1454,No
happymeme,1424,No
immortal_101,1603,No
killer4585654,1408,N/A
leoair,1416,N/A
maisui12138,1415,No
nuclear,1711,N/A
rajatupadhyay9,1509,N/A
wps0,1404,No
BitwiseXOR,1558,No
DoOmGuY007,1447,Yes
Llop,1719,N/A
Unknown_SMD,1408,No
akie_123,1492,N/A
dancemonkey,1565,No
whoisthat,1593,N/A
wuminging,1424,No
Knob_123,1419,N/A
Koushikjalan,1426,No
Nah1d,1531,Yes
Tri2k6,1410,N/A
_ETSH_,1427,No
anas_allaham,1408,N/A
capt_Levi,1519,Yes
vedantmishra69,1470,Yes
Ausert,1401,No
H_a_r_M_i_t,1506,N/A
Sarius2009,1408,No
_heisenberg,1408,N/A
deTerminated,1403,No
death4monarch,1429,N/A
harshG_12,1494,No
henry25,1710,N/A
ptfty,1521,No
sefayetalam14,1454,No
yeling,1426,N/A
Janming,1481,No
Matchaaa_lat,1417,No
WeihangZheng,1444,Yes
ashish_jaiswal15,1456,No
highonjuice,1600,No
suyasho786,1502,No
urvish_pujara,1601,No
DARK-N,1524,No
Eslam_Aymann22,1415,Yes
H_ZzZ,1404,No
Heisenberg_71,1556,N/A
Lonehll,1525,Yes
LuckyCc.,1401,N/A
NoTH1nG,1491,No
Nobdefender,1426,No
infinity567,1419,N/A
itsSSR,1437,No
Aref_Adibian20,1460,No
Frankczy,1409,N/A
Naim21,1411,Yes
ashuashutosh2211,1484,Yes
codeout,1511,No
im_veer29,1428,No
naman_cf,1420,N/A
sakthii25,1501,No
Bubble_vc10,1438,No
G.S.C,1989,No
Istiaque190515,1410,No
Murot_06,1495,No
