Handle,Max Rating
tourist,3979
Radewoosh,3752
Benq,3813
jiangly,3859
orzdevinwang,3697
cnnfls_csy,3691
maroonrk,3650
amiya,3681
Um_nik,3663
ecnerwala,3668
zh0ukangyang,3423
Geothermal,3292
heno239,3385
maspy,3177
QAQAutoMaton,3428
p_b_p_b,3137
hos.lyric,3315
Ormlis,3410
isaf27,3143
neal,3147
Qingyu,3065
yosupo,3369
244mhq,3278
flowerletter,3056
ugly2333,3264
gamegame,3339
A_G,3279
sjcsjcsjc,3011
998batrr,3020
turmax,3200
Kubic,3004
gisp_zjz,3213
fsy_jiaxun_when,3032
ksun48,3654
Maksim1744,3376
Endagorion,3313
ChemicalEquilibrium,2975
kotatsugame,3095
noimi,3353
SSRS_,3181
potato167,3029
Crystally,2953
A.K.E.E.,2948
Chtholly-Nota-Seniorious,2945
dlalswp25,2972
Merkurev,3148
hehezhoutxdy,2913
peti1234,3093
jiangly_fan,3069
Swistakk,3105
alireza_kaviani,2898
dXqwq,2885
Alex_Wei,2998
K-H,2918
DoorhandleMahoushoujo,2921
MagicSpark,2874
Vercingetorix,3213
ainta,3318
The_Noble_Brahman_Bison,2866
Golovanov399,3303
youbot,2859
tute7627,3044
1004535809,2871
feecIe6418,2987
FastFreeTask,2927
EternalAlexander,2834
yuto1115,3043
hank55663,3064
xukai,2821
Melusine,2813
20333333333,2812
i_will_be_less_than_blue,2855
antontrygubO_o,3095
E869120,2909
Kapt,2882
crazy_sea,2823
275307894a,2833
tokusakurai,2898
353cerega,3048
qiuzx,2786
PinkieRabbit,2954
Sol1,2865
Amoo_Safar,2982
Egor,3235
Rubikun,3033
Sana,2917
jeroenodb,2844
ppavic,2750
kdh9949,2881
BalintR,2799
m_99,2959
LeoPro,2770
PetelgeuseRomaneeconti,2749
peltorator,2887
tkacper,2740
YocyCraft,2739
kmjp,2901
sansen,2824
blackbori,2955
Roundgod,2768
antekb,2807
hitonanode,3182
nok0,2722
QwertyPi,2839
elycx,2880
Licha06,2716
Nyaan,2949
nantf,2906
Pointy,2708
TadijaSebez,3035
CharlieV,2715
thenymphsofdelphi,2752
foammm,2703
shiomusubi496,2701
Kite_kuma,2699
Farhod_Farmon,2976
RDDCCD,2696
Lynkcat,2694
qwerty787788,3038
grass8sheep,2689
risujiroh,2857
Nachia,2764
BigBag,2864
Morphymorphymorphy,2688
soltanbh,2716
cljq_cpp,2673
jacynkaa,2754
