Handle,Max Rating,Result
nsp-0111,1465,No
ota09,1407,No
paglupanda,1436,No
pawan_8120,1495,No
prathamvasani1,1405,No
pratyanch_jain,1531,Yes
realisation,1438,No
sleepingonee,1403,No
vermaparth04,1403,No
wotcl,1470,Yes
wuyoudexian,1570,No
xmyabc,1403,No
yeshwanth_488,1514,No
21_DIN_ME_PAISA__DOUBLE,1424,No
Aryan_Jaiswal28,1485,Yes
BlunderGod,1419,No
CY0531,1402,N/A
Chinayz,1487,No
HBD_4D,1437,No
Harsh1212,1455,No
Hi-TechMissile,1402,No
LengthCheng,1402,No
Nam3an2,1620,No
Parth_1502,1418,No
Saptak3315,1485,No
SystummBoy,1402,No
VASICKOmode,1402,No
ZXW2006,1402,No
anant1223,1497,No
as6325400,1457,No
bkdn23.alutoday,1421,No
chitraksh,1421,No
ofrajsingh,1402,No
scanfex,1460,No
shashankindukuri14,1403,No
shiqi65,1403,Yes
wdgkd,1426,No
zs111,1522,Yes
zwu2020014939,1442,No
Azad01,1536,No
Chrisann,1536,No
Dert30,1401,N/A
DmMayThangFlex21,1401,No
Faisal_faisu,1524,No
GoldenEye007,1401,No
Mixnight,1447,N/A
Ram_seu,1401,Yes
Taha2003,1422,No
Tanisha25,1420,No
W105110107,1401,No
Zxx200611,1401,No
adonkey,1401,N/A
akash472sinha,1491,No
ashishh02,1401,No
coretech_0116,1413,Yes
govufpb,1447,N/A
kiteretsu,1752,N/A
lzy-2002,1423,No
manikiran949,1445,No
ni_ind_me,1431,No
omtrivedioo3,1414,N/A
rshohruh,1460,No
sunrize0714,1401,Yes
tangchangtao..,1483,No
unleashed_spark,1508,Yes
venom1406,1499,No
why_I,1584,No
Fuad71,1440,No
IAmNotNoorik,1639,No
Mahmoud_Khater04,1451,No
Rad1x,1697,N/A
RakibulIslam,1483,Yes
SambhavJain,1476,No
bhavyacontractor,1466,N/A
devilzone_12,1414,Yes
guntehi,1504,No
krutikmalani480,1429,No
mawerty,1651,No
ojas_2003,1459,No
prathamnagpure,1424,No
saadshun,1509,No
shahd_abbara,1480,No
shreyam7713,1402,N/A
sjw712,1479,No
srujanwadkar13,1480,No
sunzhangchang,1604,N/A
the_sleepy_one,1439,No
zjx6666,1459,No
Aaayc.,1437,N/A
Aman282001,1445,Yes
Gold_Fridge,1426,N/A
Kotoha,1450,Yes
MahmoudBassem,1519,Yes
PerfectLife,1661,Yes
Utsavk02,1560,N/A
adwait_47_s,1441,No
bazooka14,1421,No
cdos,1620,No
decade_66,1515,No
fun.contest.id,1592,No
ggnG...,1527,N/A
intmainreturn69,1499,No
lebron87,1690,N/A
Ayman_khaled,1487,N/A
Bounce-Back,1554,No
Cyclopes,1444,N/A
Deepcity,1622,No
MadhavKotak,1495,Yes
OO7,1625,N/A
SANYASI_RAJA,1488,No
TheTV,1482,N/A
UnknownFear,1460,N/A
ZheyuHarry,1552,No
anikethend1234,1478,No
karandeep09,1551,N/A
macOSBigSur11.5.2_20G95,1664,Yes
n0t,1418,No
n4g4t0,1555,No
zfx1569_HCl_2023,1431,N/A
AD_,1598,No
Atharva_Arya2,1477,No
BlahBlah86169,1497,No
I_love_Iloveseeleforever,1428,N/A
JohanXLiebert,1538,No
Khody,1641,N/A
Me_Lee,1426,Yes
Questmark,1482,N/A
SchezoSchezo,1437,Yes
Shebl,1517,No
Trumling_hasnotime,1454,N/A
_Heyday_,1438,Yes
a_ban_donon,1426,No
ayushsharma2305,1483,Yes
lwfx,1497,No
pingzhou,1430,No
pranav_raichur,1562,N/A
raghu.vrt29,1422,Yes
sischu74,1512,No
siya_a,1453,No
woofyer,1511,N/A
Dennischao,1520,No
LanaSkarica,1471,Yes
NEERAJ2003,1486,No
Ovchi_Buda,1510,No
Sahil9259,1409,No
aditya4905,1445,N/A
dhillonmohit,1412,No
harsh_29102,1484,No
jatin.v.kumar.1,1401,No
jsarva,1415,N/A
kegalas,1549,No
mkhussain,1540,No
musanna_nafis,1404,No
patwalrahul1707,1521,No
qbad,1609,N/A
s2003,1472,No
sanskaragarwala,1518,No
smallxu,1444,N/A
AlexaV,1417,No
JudgerYang,1471,No
LuchXDD,1415,N/A
SiddharthJoshi,1417,No
_qiling,1503,N/A
arkbalakumar,1531,No
ata_karim,1491,Yes
bubaduba,1470,N/A
chathur_b,1446,No
dark_rays,1408,No
harshithch36,1431,N/A
kdm1dibm,1440,No
n_ee_raj_04,1438,No
pycpp,1501,N/A
shubasur,1423,N/A
stanislav_shchetinin,1556,No
vinren,1458,No
zimno,1497,No
ALuca_Rd,1632,No
DrHadenstein,1508,N/A
MAXXER_17,1547,No
Puspak-Sahu,1476,N/A
aizen_sosuke_,1401,N/A
dvwinner,1427,No
gakkigakki,1468,N/A
gbula,1529,N/A
maoyifan,1522,No
rAnD0MA,1506,N/A
vicky_raj,1440,No
wings_of_demon,1402,N/A
AliYM,1411,N/A
GENERALMAHFUZ,1475,Yes
Iagorrr,1421,No
KevinAdesara,1413,No
MT2022_IIITB,1422,No
NS3081992,1548,Yes
Nhatthang27,1441,N/A
Raven__57,1607,No
ReynellQ,1451,No
Sagar.,1471,Yes
Simba,1477,N/A
Srinish,1465,N/A
anupam_713,1492,No
divyang9575,1461,No
doupleganger,1521,N/A
light_0_yagami,1519,No
sunshineAgain,1494,N/A
topala.andrei,1477,N/A
vjcp,1476,N/A
wuyin331,1436,Yes
ConquerAndWin,1455,No
G_liver,1410,N/A
Hydrogenabc,1481,Yes
LogSingleDog,1434,N/A
Neurotical,1431,No
Oalmidani7,1466,Yes
_Uncertain_,1509,N/A
adityaraj_19,1558,Yes
ankur_27,1489,Yes
anujk20,1538,N/A
baconsoi9999,1640,No
devansh_ladha,1409,N/A
ig_notus,1430,N/A
ppsss,1422,No
prabhassagiraju,1496,Yes
sidharth_chadha,1456,No
tommykang77,1620,No
yswooo,1423,Yes
zhangjiang,1487,N/A
Biba_Boba,1462,No
Grealish_jack_,1437,No
HitenIsrani,1412,No
IsaL,1455,N/A
KuriyamaShiro,1404,No
SABERWDS,1516,No
adarsh2002,1575,No
aditeshu,1448,No
anand_patel_91,1441,No
danielvitor23,1651,N/A
daulatojha17,1526,No
doctor-strange,1453,N/A
smunteanu,1652,No
windy_hill,1507,No
yearbyyear,1714,N/A
2wasted,1419,Yes
Alickon,1452,No
