Handle,Max Rating,Result
Tandav,1531,Yes
close_fish,1480,No
electrojay27,1487,Yes
harshith_04,1606,Yes
jayantpranjal,1591,No
kirillveshnyakov,1581,No
krishnash1355,1510,Yes
manjeetvats,1545,Yes
plctey,1467,No
primesadist,1559,Yes
probie123,1467,Yes
qtfyy,1467,Yes
rarex,1561,No
shadowRanYe,1549,N/A
ssh.,1467,No
vantaablackk,1562,No
vitosevski,1611,N/A
Djhoker,1517,N/A
Kai_benefit,1466,No
Rittin_Sehgal,1488,N/A
Rj3i_Flicker,1466,No
Srbmaury,1586,No
bensen,1466,No
horrifying,1466,Yes
miho4,1466,No
montonic,1577,N/A
pavan1670,1466,No
shaomx,1553,N/A
sr_hossain,1466,N/A
thumbass,1511,N/A
whatuwant,1481,No
zjhhhzj,1480,No
AnanasClassic,1485,N/A
Anand_Coder102,1487,Yes
ChokoPie,1565,No
FYBGC,1465,N/A
Kusoul,1465,Yes
Leolazz,1465,No
Maxwell01,1600,N/A
NekoYellow,1524,No
Poseidon.,1601,N/A
SNM,1642,No
aryanguptaaa,1465,No
caycode,1571,No
dlckswns,1514,N/A
facebook.gmai612,1520,No
namanlp,1506,No
sneha_chembeti,1465,N/A
zluoyanjin,1549,No
88ion,1611,N/A
AnmolS277,1489,No
Collapsar_,1464,No
Hirobi,1464,No
Jakosa_ko_osaga,1519,N/A
Muditgupta24,1509,No
OLIN_ONE,1748,N/A
Perserverance,1504,No
PhanThanhThai,1464,Yes
Purgatory_,1464,Yes
cf_xiaohao,1608,No
deep_69,1499,No
godeliscomplete,1522,No
johnsmith0xcf,1464,No
lwx_hh,1499,No
megaminion,1464,N/A
no_one.01,1567,No
samchen123,1558,No
sanjay77,1464,No
spreetdbhedbd,1464,N/A
suprend,1576,Yes
suprit.s21,1464,N/A
thekkcpp,1630,No
theoooooo,1523,No
wannna_be_master,1489,Yes
2005zhw,1562,N/A
CN__Pro__Coder,1476,N/A
Enamul_Hasan85,1517,Yes
FuDiWeiu,1806,No
HVD_160,1467,Yes
LP_Young.,1463,No
Linver,1570,N/A
MouayadL7,1463,No
Octanoic,1546,N/A
UndercoverGoose,1566,No
UnicornVelociraptor,1484,No
_ayushpatidar18,1652,N/A
aditya1064,1463,Yes
ahmedalaa22,1463,No
andyp3,1591,N/A
dmesadiaz,1523,N/A
dmkwis,1463,No
efishel,1463,N/A
iulia.ela.morariu,1492,No
jayrajsinh3195,1580,No
sjxcxz,1463,N/A
AhmedSMohamed12,1462,No
Ali1jaraa,1464,No
Damirem,1462,N/A
GeekInDisguise,1462,No
I_am_fine_Thank_you,1593,No
Maburb,1555,No
Marcelolfz,1462,N/A
Rahul_Nain,1462,No
Rahul_Nikhate,1462,N/A
Saidul_1,1524,No
ShivanshAgarwal89,1462,No
Silencer76,1462,No
Tatsugiri,1462,N/A
Wilbert1124,1462,Yes
_xqy_,1563,No
abdalrahem.r.dado,1528,N/A
alex17.12,1462,Yes
bkdn23.leevox,1617,No
buburibu1234,1462,N/A
czar_ime,1693,N/A
deadrohan19,1462,No
hemantpatil10125,1462,N/A
hunghoang,1534,N/A
kamlesh_72,1462,No
karlamun,1462,N/A
mayankM,1462,No
nice_try_,1462,No
sksx085,1462,N/A
sodriet,1537,No
sushant.iit,1476,Yes
tanishq2,1462,No
tanjil-ahmed,1462,No
Be_Yourself_29,1550,No
KaukuzzOwO,1461,N/A
Shivam_Jha,1535,No
Super_Misha,1461,N/A
_Fahim_Al_Islam_,1513,No
_santyssk_,1613,N/A
akash_singh25,1461,N/A
chota_tourist_,1572,No
dark_ethics,1539,No
dpd,1461,N/A
idle-person,1461,No
jiayi_ko,1461,No
just_chill_123,1528,Yes
mohdfahad,1635,Yes
roaky,1461,No
rolandorh,1745,N/A
vishesh011,1465,Yes
AdityaTakkar,1460,No
Christopher_Rdz,1508,N/A
GauravBilotia,1527,No
Ghayth.Moustapha,1651,N/A
Higanbana,1460,No
Insane_110,1461,N/A
LEU,1500,No
LivingHell,1499,No
Southern_Dynasty,1499,No
anominos,1503,N/A
anupamojha__21,1541,No
bitezadust,1535,Yes
crabcrabcrab,1941,No
roshanVerma,1509,No
sam_starkov,1628,No
ADAR2002,1471,No
Big_Feky,1494,N/A
Coding_lord43,1475,No
ManikandanSritharan,1645,Yes
Mudit_Loya,1529,N/A
RyotoBUAA,1459,No
agSidharth,1484,No
akshin_,1500,N/A
aman0037,1571,No
anhvuleduc17,1548,Yes
antonov1lya,1527,N/A
aryankesharwani142004,1537,No
bhavishya3019,1459,No
codechefpurpose2023,1459,Yes
eyy,1576,No
fominmaxim3721,1459,N/A
germanking6,1504,No
gsc0618,1459,No
